Name,Score
Abrham,95
Adane,81
Abel,87
Abebe,92
Abeba,78
Adugna,76
Azeb,96
Belete,82
Birhan,85
Adiam,89
Aferwork,93
Almaz,84
Amen,91
Aster,88
Atena,79
Bethel,90
Dawit,95
Debebe,77
Degene,83
Eden,89
Efrem,92
Eliyas,80
Emnet,86
Ephrem,97
Fikre,74
Freweini,91
Getachew,88
Hanna,79
Henok,93
Hirut,85
Isaias,82
Kidist,87
Liya,76
Mahmud,94
Medhane,81
Mekdes,89
Mesfin,83
Nahom,92
Rahel,78
Rediet,86
Selam,95
Selamawit,80
Semere,88
Senait,91
Serkalem,85
Tadele,77
Tafari,96
Tigist,82
Yared,90
Zewde,87
Kebede,90
