Name,Score,Status
Ephrem,97,A
Azeb,96,A
Tafari,96,A
Abrham,95,A
Dawit,95,A
Selam,95,A
Mahmud,94,A
Aferwork,93,A
Henok,93,A
Abebe,92,A
Efrem,92,A
Nahom,92,A
Amen,91,A
Freweini,91,A
Senait,91,A
Bethel,90,A
Yared,90,A
Kebede,90,A
Adiam,89,B
Eden,89,B
Mekdes,89,B
Aster,88,B
Getachew,88,B
Semere,88,B
Abel,87,B
Kidist,87,B
Zewde,87,B
Emnet,86,B
Rediet,86,B
Birhan,85,B
Hirut,85,B
Serkalem,85,B
Almaz,84,B
Degene,83,B
Mesfin,83,B
Belete,82,B
Isaias,82,B
Tigist,82,B
Adane,81,B
Medhane,81,B
Eliyas,80,B
Selamawit,80,B
Atena,79,C
Hanna,79,C
Abeba,78,C
Rahel,78,C
Debebe,77,C
Tadele,77,C
Adugna,76,C
Liya,76,C
Fikre,74,C
Overall Average: 86.3529411764706
